,id,summary,wakati
0,1,ある夜、逃亡中の殺人犯・瀬良不二夫は泣きながらデリヘルを呼ぶ。現れたデリヘル嬢・伊丹洋子は、彼の個人ラジオ「フジオのラジオ」の大ファンで、彼の正体に気付いてしまいーー。WEBラジオによって結びつけられた、笑わせることに飢えたDJとリスナー。二人の歪んだ秘密の逃避行が始まる……。,有る 夜 逃亡中 殺人犯 瀬良 不二夫 泣きながら デリヘル 呼ぶ 表われ デリヘル 嬢 伊丹 洋子 個人 ラジオ フジオ ラジオ ファン 正体 気付く 縞 ウェブ ラジオ 結び付ける 笑う 事 飢え ＤＪ リスナー 二人 歪む 秘密 逃避 行 始まる
1,2,明治24年、日本政府は、北の大地で通称“囚人道路”と呼ばれる国家計画を行った。ある日、ロシアから炭疽菌に覆われた死体が漂着。首相以下上層部数名は、大国の細菌兵器を恐れ、ある極秘計画を密行。その折、ロシア皇太子が日本人警官に襲われる'大津事件'が勃発……網走監獄を舞台に、極秘実験がとんでもないモンスターを生み出す!?,明治 ２４ 年 日本政府 北の大地 通称 囚人道路 呼ぶ 国家 計画 行く 有る 日 ロシア 炭疽菌 覆う 死体 漂着 首相 以下 上層部 数 名 大国 細菌 兵器 恐れ 有る 極秘 計画 密行 折 ロシア 皇太子 日本 人 警官 襲う 大津事件 勃発 網走 監獄 舞台 極秘 実験 無い モンスター 生み出す
2,3,5回目の結婚記念日を迎える前日、妻が消えたーー。人口増加で人の主食が昆虫となった大食糧難の時代。'神の国'神モルタの教会には、救いを求めて人々が列を為す。教会の裏側には'洗礼'を受けた者しか立ち入れない'聖域'があった。記者のウォルターは妻を探すため、それに手を伸ばす……。そこで彼が知る世界の真実とはーー。,５ 回 目 結婚 記念 日 迎える 前日 妻 消える 人口 増加 人 主食 昆虫 食糧難 時代 神 国 神 モルタ 教会 救い 求める 人々 列 成す 教会 裏側 洗礼 受ける 者 立ち入る 無い 聖域 記者 ウォルター 妻 探す 為 手 伸ばす 知る 世界 真実
3,4,天界の新米役人の陣内くんは神様たちの点呼係。未熟で色衣を着られない。なのに、下界に降りた勝手気ままな幸福の女神・吉祥天様の担当にされてしまい、先輩から神様の取り扱い説明書を渡されたのだがーー。下界を見守る神様たちとそれを裏で支える天界の新米役人の孤軍奮闘コメディ!!,天界 新米 役人 陣内 呉れる 神 質 点呼 係 色衣 着 無い 下界 降り 勝手 気侭 幸福 女神 吉祥 天 担当 仕舞い 先輩 神 取り扱い 説明書 渡す 下界 見守る 神 質 裏 支える 天界 新米 役人 孤軍奮闘 コメディー
4,5,相川コウジは小さなベンチャー企業の社長。投資家から見放され、友人たちが順調な人生を歩む中、トラックにハネられる。気がつくとそこには、刀に着物、ちょんまげ姿の武士たちが……。タイムスリップした先は明治時代。ここで彼はある男と出会い「アンパン」を売ることにーー?! 旧時代で未来を切り開く、超異色の起業家ストーリー開幕！,相川 コウジ ベンチャー企業 社長 投資家 見放す 友人 質 人生 歩む 中 トラック 跳ね 気 付く 刀 着物 丁髷 姿 武士 質 タイム スリップ 先 明治時代 有る 男 出会い アン パン 売る 事 旧 時代 未来 切り開く 起業家 ストーリー 開幕
5,6,1999年片田舎。3人の中学生男女は、誰にも知られることなく発信できる新たなツールを手に入れた。密かに始まるオンラインの青春。ネット時代の新感覚ノスタルジックストーリー！,１９９９ 年 片田舎 ３ 人 中学生 男女 知る 事 無い 発信 出来る ツール 手 入れる 始まる オン ライン 青春 ネット 時代 新感覚 ストーリー
6,7,磁辺島に移住してきたタイ語翻訳者・本山田。彼を待っていたのは、都会に憧れる人懐っこい島娘。憧れのロハスな生活から一転、空から降ってきた金属片により、島の大きな“秘密”が徐々に明らかに――!?『片隅乙女ワンスモア』『人魚姫の水族館』の伊藤正臣が紡ぐ、新感覚アイランドストーリー!!,辺 島 移住 タイ語 翻訳者 本 山田 待つ 都会 憧れる 人 懐こい 島 娘 憧れ ロハス 生活 一転 空 降る 金属片 島 秘密 徐々 片隅 乙女 ワンス 人魚姫 水族館 伊藤正臣 紡ぐ 新感覚 アイランド ストーリー
7,8,海、太陽、戦闘機、この景色が私の故郷なんだよ――沖縄に撮影でやってきた、新米カメラマンの大山もりみちは、師匠の無茶振りで長期取材し、オバァと出会うーー。沖縄地元民たちとの触れ合いから沖縄の今昔を見つける！ 『うきわ』『満月エンドロール』の野村宗弘が贈る渾身作‼︎,海 太陽 戦闘機 景色 故郷 沖縄 撮影 遣る 新米 カメラマン 山盛り 道 師匠 無茶振り 長期 取材 御 婆 出会い 沖縄 地元民 質 触れ合い 沖縄 今昔 見付ける 浮き輪 満月 エンド ロール 野村宗弘 贈る 渾身 作
8,9,弁当屋の店員でぽっちゃり女子の原陽子は駅構内で自殺を図る。そこへ陽子のバイト先を訪れていた超ド級理系男子の大池学が通りかかり間一髪救助！ 一目惚れする陽子だが、大池が助けた理由は人命よりも他にあったようで……。第16回文化庁メディア芸術祭マンガ部門審査委員会推薦作品『ナガサレール イエタテール』、『ニコニコ妖画』、『わたしのお婆ちゃん』のニコ・ニコルソンが描く、超理系素粒子級ラブコメ!!,弁当屋 店員 女子 原陽子 駅構内 自殺 図る 陽子 バイト先 訪れ 超弩級 理系男子 大池 学 通り掛かる 間 一髪 救助 一目 惚れ 為る 陽子 大池 助ける 理由 人命 他 良い 第 １６ 回 文化庁メディア芸術祭マンガ部門 審査 委員会 推薦 作品 ナガサ レール イエタ テール あやかし 画 御 婆 ニコ・ニコルソン 描く 理系 素 粒子 級 ラブコメ
9,10,ゲーム業界への就職を諦めた女性ゲーマーの城宮区藍（クラン）は、某有名ゲーム雑誌の元編集長に連れられ、ゲーマーの聖地「８４」を訪れる。そこで、'実在する'ゲームクリエイターらと出会い、クリエイターの本質を知っていくーーフィクションとリアルが融合する新感覚ゲーマー物語開幕‼︎,ゲーム 業 境 就職 諦める 女性 ゲーマー 城 宮 藍 クラン 某 ゲーム雑誌 元 編集長 連れ ゲーマー 聖地 ８４ 訪れる 実在 為る ゲームクリエイター 出会い クリエーター 本質 知る 行く フィクション リアル 融合 為る 新感覚 ゲーマー 物語 開幕
