id,wakati
1,有る 夜 逃亡中 殺人犯 瀬良 不二夫 泣きながら デリヘル 呼ぶ 表われ デリヘル 嬢 伊丹 洋子 個人 ラジオ フジオ ラジオ ファン 正体 気付く 縞 ウェブ ラジオ 結び付ける 笑う 事 飢え ＤＪ リスナー 二人 歪む 秘密 逃避 行 始まる
2,明治 ２４ 年 日本政府 北の大地 通称 囚人道路 呼ぶ 国家 計画 行く 有る 日 ロシア 炭疽菌 覆う 死体 漂着 首相 以下 上層部 数 名 大国 細菌 兵器 恐れ 有る 極秘 計画 密行 折 ロシア 皇太子 日本 人 警官 襲う 大津事件 勃発 網走 監獄 舞台 極秘 実験 無い モンスター 生み出す
3,５ 回 目 結婚 記念 日 迎える 前日 妻 消える 人口 増加 人 主食 昆虫 食糧難 時代 神 国 神 モルタ 教会 救い 求める 人々 列 成す 教会 裏側 洗礼 受ける 者 立ち入る 無い 聖域 記者 ウォルター 妻 探す 為 手 伸ばす 知る 世界 真実
4,天界 新米 役人 陣内 呉れる 神 質 点呼 係 色衣 着 無い 下界 降り 勝手 気侭 幸福 女神 吉祥 天 担当 仕舞い 先輩 神 取り扱い 説明書 渡す 下界 見守る 神 質 裏 支える 天界 新米 役人 孤軍奮闘 コメディー
5,相川 コウジ ベンチャー企業 社長 投資家 見放す 友人 質 人生 歩む 中 トラック 跳ね 気 付く 刀 着物 丁髷 姿 武士 質 タイム スリップ 先 明治時代 有る 男 出会い アン パン 売る 事 旧 時代 未来 切り開く 起業家 ストーリー 開幕
6,１９９９ 年 片田舎 ３ 人 中学生 男女 知る 事 無い 発信 出来る ツール 手 入れる 始まる オン ライン 青春 ネット 時代 新感覚 ストーリー
7,辺 島 移住 タイ語 翻訳者 本 山田 待つ 都会 憧れる 人 懐こい 島 娘 憧れ ロハス 生活 一転 空 降る 金属片 島 秘密 徐々 片隅 乙女 ワンス 人魚姫 水族館 伊藤正臣 紡ぐ 新感覚 アイランド ストーリー
8,海 太陽 戦闘機 景色 故郷 沖縄 撮影 遣る 新米 カメラマン 山盛り 道 師匠 無茶振り 長期 取材 御 婆 出会い 沖縄 地元民 質 触れ合い 沖縄 今昔 見付ける 浮き輪 満月 エンド ロール 野村宗弘 贈る 渾身 作
9,弁当屋 店員 女子 原陽子 駅構内 自殺 図る 陽子 バイト先 訪れ 超弩級 理系男子 大池 学 通り掛かる 間 一髪 救助 一目 惚れ 為る 陽子 大池 助ける 理由 人命 他 良い 第 １６ 回 文化庁メディア芸術祭マンガ部門 審査 委員会 推薦 作品 ナガサ レール イエタ テール あやかし 画 御 婆 ニコ・ニコルソン 描く 理系 素 粒子 級 ラブコメ
10,ゲーム 業 境 就職 諦める 女性 ゲーマー 城 宮 藍 クラン 某 ゲーム雑誌 元 編集長 連れ ゲーマー 聖地 ８４ 訪れる 実在 為る ゲームクリエイター 出会い クリエーター 本質 知る 行く フィクション リアル 融合 為る 新感覚 ゲーマー 物語 開幕
11,サークル 活動 サイパン 向かう 大学生 羽場 涼介 質 戦争 体感 出来る ＶＲ 装置 身 付ける 仮想現実 ダイブ 為る 本物 見紛う 迫力 圧倒 中 涼介 自分たち 見詰める 視線 感じ 大戦 ロマン 旗手 切り開く 虚構 現実 狭間 描く 新時代 仮想戦記 開戦
12,ロシア ソビエト 頃 ユーリ 見上げる 宇宙 目指す 時代 求める 英雄 成る 為 志 持つ ゲルマン 出会い 人類 宇宙 史 大きい 動かす 行く 地球 青い 人類 初 有人宇宙飛行 挑む 男 質 描く ヒューマン ドラマ 開演
13,引っ越し 祝い ケーキ 食べる 大学生 女 金 駆 眼鏡 かける 目 前 女性 幽霊 現われる 幽霊 事件 担当 為る 探偵 真 零 源 翔 しん 威厳 仕様 除霊 依頼 為る いんちき 探偵 良い ボケとツッコミ 溢れる 止まる 無い 痛快 ギャグ漫画
14,世界 バックギャモン プレーヤー 速水 翆 空港 賭け 木 物 為る 少女 三浦 レオ 出会う 危険 戦法 プレー 為る レオ 魅する 速水 賭け 木 物 挑む バックギャモン 運 ゲーム 無い 魔力 象徴 為る 盤上 描く ヒューマン ゲーム スタート
15,キヨ 御前 以外 心 許す 友達 持つ 事 無い 夏目漱石 描く 名作 坊っちゃん 講談社漫画賞 受賞 作家 逢坂 みえ 子 氏 現代 大学 舞台 漫画化 御 馴染み キヨ 始める 寮生 山嵐 赤シャツ 先輩 質 登場 無鉄砲 主人公 坊っちゃん 織り成す 青春 群像劇
16,植物 化ける 出来る 肥料 びっくり 開発 成功 学生 きな子 開発 学校 中 喜ぶ 束の間 町 動物 質 化ける 大騒ぎ 薬 植物 化ける 出来る 無い 筈 きな子 開発 ミス 陰謀 町 救う きな子 真相 迫る
17,天才 博士 母 持つ 男子 学生 ヨナ 微分 理解 出来る 母 次元 レッスン 受ける ヨナ 為 母 発明 イージー 次元 弄り 機 世界 別次元 誘う 現役 理系 学生 葦 藻 氏 描く すこしふしぎ 短編 読み切り 作品
